Unnamed: 0,Title,Duration,level,lien,description,formateur,Certification,Date,image_source,price,cost_co,cost_year,duration
0,Network Address Translation Operation and Configuration,1h 38m,Intermediate,https://www.pluralsight.com/courses/network-address-translation-operation-configuration,"Network address translation (NAT) solves the problem of allowing a device with a non-routable, private IP address to get routed to the public Internet by allowing routers to manipulate the packet and segment headers. In this course, Network Address Translation Operation and Configuration, you'll learn all about how this works. First, you'll get an introduction to NAT, its history, and why it was developed. Next, you'll spend some time exploring the different types of NAT. Finally you'll learn how to implement and troubleshoot static NAT, dynamic NAT with overload, and port forwarding. By the end of this course, you will be able to implement all the different types of NAT in your environment.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,51,0.47g of CO2,56.08kg of CO2,1
1,Getting Started with Agile Business Analysis and the IIBA-AAC Certification,1h 33m,Beginner,https://www.pluralsight.com/courses/getting-started-business-analysis-iiba-aac-certification,"Business analysts identify challenges and define objectives teams use to achieve goals. In this course, Getting Started with Agile Business Analysis and the IIBA-AAC Certification, you'll learn how to adapt your approach to tackle ever-changing and newly-discovered needs. First, you'll learn the key skills business analysts rely on to complete their important role, and how adopting an Agile mindset can supercharge these efforts. Next, you'll discover the horizons for Agile Analysis planning and some of the key resources you have at your disposal in learning how to serve as an effective analyst. Finally, you'll explore how you can earn a widely recognized Agile Analysis certification from the International Institute for Business Analysis. When you're finished with this course, you’ll understand how effective business analysts adapt their practices to Agile environments, have a new appreciation for how an Agile mindset can drive better analysis and business outcomes, and be able to assess if earning an Agile Analysis Certification – or simply choosing to learn more about this exciting topic – is right for you.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,21,0.47g of CO2,56.08kg of CO2,1
2,Understanding and Using Essential Tools for Enterprise Linux 7,3h 52m,Beginner,https://www.pluralsight.com/courses/essential-tools-red-hat-enterprise-linux,"Take your Linux sysadmin skills to the next level and get started on your Redhat® Certified System Administrator (RHCSA)/Redhat Certified Engineer (RHCE) learning path. This course, Understanding and Using Essential Tools for Enterprise Linux 7, introduces you to the essential tools needed to administer/manage a Red Hat® Enterprise Linux® (RHEL)-based system. First, you'll learn the core concepts of the bash shell. You'll then cover how to manage files, and finally you'll move onto text editing, which enable you to cruise the command line confidently! By the end of this course, you'll have improved your Linux sysadmin skills and you'll be one step closer to becoming an RHCSA.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,49,0.47g of CO2,56.08kg of CO2,3
3,"Maintaining, Monitoring and Troubleshooting Kubernetes",2h 14m,Intermediate,https://www.pluralsight.com/courses/maintaining-monitoring-troubleshooting-kubernetes,"Troubleshooting production in Kubernetes clusters can be difficult. In this course, Maintaining, Monitoring and Troubleshooting Kubernetes, you’ll learn to maintain, monitor, and troubleshoot Kubernetes Clusters. First, you’ll learn core cluster maintenance tasks such as etcd backup and restore operations, upgrading an existing Kubernetes Cluster, and facilitating for Worker Node maintenance and high availability cluster topologies. Next, you’ll discover how to quickly find and analyze performance monitoring and logging data in your cluster. Finally, you’ll explore core tools and techniques for troubleshooting your cluster. When you’re finished with this course, you’ll have the skills and knowledge of maintaining, monitoring, and troubleshooting needed to operate and manage Kubernetes Clusters. This course can also help you prepare for your Certified Kubernetes Administrator (CKA) certification.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,38,0.47g of CO2,56.08kg of CO2,2
4,Linux High Availability Cluster Management,1h 26m,Intermediate,https://www.pluralsight.com/courses/linux-high-availability-cluster-management-lpic-3,"Running server operations using clusters of either physical or virtual computers is all about improving performance over and above what you could expect from a single, high-powered server. But ""improving performance"" can mean different things in different contexts. This course, Linux High Availability Cluster Management, will bring many aspects of performance improvement to light. You'll be introduced to the principles of Linux-based HA and cluster management and the key tools currently in use in real-world environments - including Linux Virtual Server (LVS), HAProxy, Pacemaker, DRBD, OCFS2, and GFS2. You'll learn how to intelligently spread workloads among diverse geographic and demand environments (load balancing). You'll also discover how to provide backup servers that can be quickly brought into service in the event a working node fails (failover). Finally, you'll also learn about optimizing the way your data tier is deployed, or allowing for fault tolerance through loosely coupled architectures. By the end of this course, you will be able to improve and manage many aspects of the performance of your local or cloud Linux deployments, and they'll be more reliable for it.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,26,0.47g of CO2,56.08kg of CO2,1
5,Broadening Android App Appeal and Reach,4h 4m,Advanced,https://www.pluralsight.com/courses/android-broadening-app-appeal-reach,"The Android platform encompasses one of the largest user bases of any platform and provides those users with a rich device ecosystem filled with choices. In this course, Broadening Android App Appeal and Reach, you’ll learn how to succeed in this environment by creating apps that effectively engage the needs of these users and that adapt to their individual device capabilities. First, you will see how to use the Android resource system to create apps that dynamically adapt to device features and capabilities. Next, you’ll explore how to create locale-aware apps that have multiple-language support and display text in the user’s language of choice. After that, you’ll dive into creating custom views that allow your app to present a rich and engaging user experience. You’ll then learn to add Android Studio design-time configurability to your custom views and incorporate interactive features. Finally, you’ll gain an understanding of how to create apps that provide support for accessibility features such as non-touch navigation and screen readers. By the end of this course, you’ll have the skills and knowledge to create your own Android applications that that effectively engage and meet the needs of the rich ecosystem of Android devices and users.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,44,0.47g of CO2,56.08kg of CO2,4
6,Managing Windows 10/11 Desktops: Policies and Profiles,2h 34m,Intermediate,https://www.pluralsight.com/courses/modern-desktops-policies-profiles,"Managing modern desktops includes integrating existing tools with cloud tools in order to restrict access to corporate data, control device settings, and maintain user profiles. In this course, Managing Windows 10/11 Desktops: Policies and Profiles, you will gain the ability to manage Windows 10/11 configurations with both LAN-based and cloud-based utilities. First, you will learn methods for migrating from Configuration Manager and Group Policy to co-management and Mobile Device Management. Next, you will discover how to evaluate configurations with compliance policies, restrict access to applications based on compliance, and deploy desired configuration settings with device profiles – including for kiosk systems. Finally, you will explore ways to manage user state, including mandatory and roaming profiles and Enterprise State Roaming in Azure AD. When you are finished with this course, you will have the skills and knowledge to manage user and device configurations in organizations with both on-premises and cloud-based architectures. This course aligns with the learning objectives for the new MD-101 exam to obtain certification as a Modern Desktop Administrator Associate.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,54,0.47g of CO2,56.08kg of CO2,2
7,Installing and Configuring Windows 10/11,2h 36m,Intermediate,https://www.pluralsight.com/courses/windows-10-installing-configuring,"Building on the most popular client operating system ever from Microsoft, Windows 10 enterprises are starting to embrace Windows 11. Both versions of Windows are offered in multiple editions and installation options. In this course, Installing and Configuring Windows 10/11, you'll learn how to select, install, and customize the best Windows 10 edition for you. First, you'll explore how to locate and create offline installation media and understand the various deployment methods. Next, you’ll see how to upgrade or migrate from an older version of Windows to Windows 10/11 and perform a clean install. Finally, you’ll delve into deploying Windows using enterprise tools. During the course you'll see plenty of demos for you to see how to perform administrator tasks and configure Windows. When you have finished this course, you’ll have the skills and knowledge needed to install the most appropriate Windows 10/11 edition, using a variety of installation methods.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,45,0.47g of CO2,56.08kg of CO2,2
8,Securing Windows Server 2016 Virtualization,2h 30m,Intermediate,https://www.pluralsight.com/courses/windows-server-2016-virtualization-securing,"Hyper-V is an excellent application that comes in Windows Server 2016 Standard and Enterprise. By default, there isn’t a lot of security unless you add it using the built-in tools that come with the server. However, you need to figure out which tools you should use and how to configure them. In this course, Securing Windows Server 2016 Virtualization, you’ll learn foundational knowledge needed to gain the ability to secure your virtual machines using a variety of tools. First, you will learn how to harden your virtual machine infrastructure. Next, you’ll learn encryption and enterprise firewall skills. Finally, you’ll learn how to avoid giving too many rights to too many people. When you’re finished with this course, you will have the skills and knowledge of securing your virtual machine environment needed to protect your clients.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,54,0.47g of CO2,56.08kg of CO2,2
9,Working on a Team,1h 43m,Beginner,https://www.pluralsight.com/courses/working-on-a-team,"In this course, we talk about the dynamics of a team, including the what and why of a team; why teams fail or succeed; team leadership issues such as power and authority, vision, and communication; and other foundational team skills. We share 24 tactics and concepts to help you become a better team contributor, and we discuss ideas for working with difficult people.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,49,0.47g of CO2,56.08kg of CO2,1
10,Business Analysis: Managing Requirements,1h 56m,Intermediate,https://www.pluralsight.com/courses/business-analysis-managing-requirements,"This course explains the Requirements Life Cycle Management knowledge area and its main purpose - to ensure that business, stakeholder, solution requirements, and designs are aligned to one another and that the solution implements them. In this course, Business Analysis: Managing Requirements, you will gain the ability to skillfully manage requirements and designs from their inception to retirement. First, you will learn which tasks will be fulfilled as a part of the whole process. Next, you will discover the applicable techniques, tools, and guidelines for an implementation. Finally, you will explore how they appear in real-life scenarios through an example product development company. When you are finished with this course, you will have the skills and knowledge of requirements life cycle management needed to round your business analysis know-how.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,15,0.47g of CO2,56.08kg of CO2,1
11,PMI-ACP®: Agile Methodologies (2 of 11),3h 54m,Intermediate,https://www.pluralsight.com/courses/pmi-acp-agile-methodologies,"This course will provide an in-depth understanding of Agile methodologies with particular emphasis on a detailed discussion of Scrum, Scrum Principles and Values, and Kanban. The course also includes a general comparison of Agile and traditional, plan-driven methodologies, a comparison of Agile and PMBOK, and an overview of other Agile methodologies that are not as widely-used as Scrum. This course is part of the PMI-ACP® Agile Project Management series.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,52,0.47g of CO2,56.08kg of CO2,3
12,CentOS Enterprise Linux 7 Network Management,4h 7m,Beginner,https://www.pluralsight.com/courses/lfcs-linux-networking,"There is more to Linux administration than managing a single system--you have to network many systems and protect these systems from the Internet. In this course, LFCS: Linux Networking, new system administrators like you will be equipped with the skills needed to integrate CentOS 7 into a networked environment. First, you will learn how to implement persistent configuration of the IP address, gateway, and DNS settings of your system. Next, you'll learn the skills required to implement firewalls on your CentOS 7 system. Finally, you’ll learn how to implement secure tunneling to create Virtual Private Networks. By the end of this course, you'll have the expertise you need to be able to network and secure multiple systems.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,47,0.47g of CO2,56.08kg of CO2,4
13,Agile in the Real World,2h 8m,Intermediate,https://www.pluralsight.com/courses/agile-real-world,"Agile practices often sound great on paper, but quickly lose their luster once you try to apply them in the real world. This course will show you how to take the best of Agile methodologies and apply them to your own team in a way that actually makes sense. Rather than focus on the theory of how agile works in a vacuum, the techniques taught in this course are based on the most common places where agile breaks down in reality and the concrete strategies to fix them.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,30,0.47g of CO2,56.08kg of CO2,2
14,Designing/Deploying Exchange 2016: Mailbox Databases,3h 55m,Intermediate,https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-mailbox-databases,"In this course, Designing/Deploying Exchange 2016 (70-345): Mailbox Databases, you'll learn how to design and deploy mailbox databases and how to create highly available exchange services using databases availability group. Then, you'll learn how to manage, troubleshoot and recover mailbox databases in a range of operational and problem scenarios. By the end of this course you'll be on your way to being ready to sink your Exchange 2016 certification exam.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,43,0.47g of CO2,56.08kg of CO2,3
15,Business Analysis: Capturing and Designing Requirements,2h 6m,Intermediate,https://www.pluralsight.com/courses/business-analysis-capturing-designing-requirements,"In this course, Business Analysis: Capture and Designing Requirements, you’ll dive deep into the specificities of BABOK® Guide - Requirements Analysis and Design Definition. First, you’ll learn the tasks that business analysts perform. Next, you’ll explore structuring and organizing requirements. Finally, you’ll discover how to begin specifying and modeling those requirements. When you’re finished with this course, you’ll have the skills and knowledge necessary to round the process consisting of iterative activities, from the basic concepts, business needs analysis, to their transformation into a specific recommended solution.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,43,0.47g of CO2,56.08kg of CO2,2
16,CentOS Enterprise Linux 7 Storage Management,6h 22m,Beginner,https://www.pluralsight.com/courses/lfcs-linux-storage-management,"Finding a trustworthy storage solution that meets your needs as an administrator is difficult. This course, CentOS Enterprise Linux 7 Storage Management, will help any admin learn how to use Linux in order to provide more reliability in their storage and services. First, you'll learn about the partitions on which Linux disks reside, file systems, and virtual memory. Next, you'll move onto ACLs and how to configure an iSCSI block storage server, and more. You'll finish with using the auto-mounter and learning about quotas. By the end of this course, you'll know how to use Linux to meet all your storage needs in a safe and reliable way.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,28,0.47g of CO2,56.08kg of CO2,6
17,Managing Software in Linux with Debian Software Management,1h 58m,Beginner,https://www.pluralsight.com/courses/linux-managing-software-debian-software-management,"Many courses and books cover software management in Debian based systems, but few cover it in depth. In this course, Managing Software in Linux with Debian Software Management, you will learn foundational knowledge of using Debian packaging tools, from the basics through to creating binary packages. First, you will be taught the basics of the command dpkg. Next, you will discover how to use apt to help you locate and manage software. Finally, you will explore how to create your own Debian package. When you’re finished with this course, you will have the skills and knowledge of Debian software management needed to manage your enterprise Linux systems.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,32,0.47g of CO2,56.08kg of CO2,1
18,Network Address Translation Operation and Configuration,1h 38m,Intermediate,https://www.pluralsight.com/courses/network-address-translation-operation-configuration,"Network address translation (NAT) solves the problem of allowing a device with a non-routable, private IP address to get routed to the public Internet by allowing routers to manipulate the packet and segment headers. In this course, Network Address Translation Operation and Configuration, you'll learn all about how this works. First, you'll get an introduction to NAT, its history, and why it was developed. Next, you'll spend some time exploring the different types of NAT. Finally you'll learn how to implement and troubleshoot static NAT, dynamic NAT with overload, and port forwarding. By the end of this course, you will be able to implement all the different types of NAT in your environment.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,37,0.47g of CO2,56.08kg of CO2,1
19,Getting Started with Agile Business Analysis and the IIBA-AAC Certification,1h 33m,Beginner,https://www.pluralsight.com/courses/getting-started-business-analysis-iiba-aac-certification,"Business analysts identify challenges and define objectives teams use to achieve goals. In this course, Getting Started with Agile Business Analysis and the IIBA-AAC Certification, you'll learn how to adapt your approach to tackle ever-changing and newly-discovered needs. First, you'll learn the key skills business analysts rely on to complete their important role, and how adopting an Agile mindset can supercharge these efforts. Next, you'll discover the horizons for Agile Analysis planning and some of the key resources you have at your disposal in learning how to serve as an effective analyst. Finally, you'll explore how you can earn a widely recognized Agile Analysis certification from the International Institute for Business Analysis. When you're finished with this course, you’ll understand how effective business analysts adapt their practices to Agile environments, have a new appreciation for how an Agile mindset can drive better analysis and business outcomes, and be able to assess if earning an Agile Analysis Certification – or simply choosing to learn more about this exciting topic – is right for you.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,54,0.47g of CO2,56.08kg of CO2,1
20,Understanding and Using Essential Tools for Enterprise Linux 7,3h 52m,Beginner,https://www.pluralsight.com/courses/essential-tools-red-hat-enterprise-linux,"Take your Linux sysadmin skills to the next level and get started on your Redhat® Certified System Administrator (RHCSA)/Redhat Certified Engineer (RHCE) learning path. This course, Understanding and Using Essential Tools for Enterprise Linux 7, introduces you to the essential tools needed to administer/manage a Red Hat® Enterprise Linux® (RHEL)-based system. First, you'll learn the core concepts of the bash shell. You'll then cover how to manage files, and finally you'll move onto text editing, which enable you to cruise the command line confidently! By the end of this course, you'll have improved your Linux sysadmin skills and you'll be one step closer to becoming an RHCSA.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,51,0.47g of CO2,56.08kg of CO2,3
21,"Maintaining, Monitoring and Troubleshooting Kubernetes",2h 14m,Intermediate,https://www.pluralsight.com/courses/maintaining-monitoring-troubleshooting-kubernetes,"Troubleshooting production in Kubernetes clusters can be difficult. In this course, Maintaining, Monitoring and Troubleshooting Kubernetes, you’ll learn to maintain, monitor, and troubleshoot Kubernetes Clusters. First, you’ll learn core cluster maintenance tasks such as etcd backup and restore operations, upgrading an existing Kubernetes Cluster, and facilitating for Worker Node maintenance and high availability cluster topologies. Next, you’ll discover how to quickly find and analyze performance monitoring and logging data in your cluster. Finally, you’ll explore core tools and techniques for troubleshooting your cluster. When you’re finished with this course, you’ll have the skills and knowledge of maintaining, monitoring, and troubleshooting needed to operate and manage Kubernetes Clusters. This course can also help you prepare for your Certified Kubernetes Administrator (CKA) certification.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,46,0.47g of CO2,56.08kg of CO2,2
22,Linux High Availability Cluster Management,1h 26m,Intermediate,https://www.pluralsight.com/courses/linux-high-availability-cluster-management-lpic-3,"Running server operations using clusters of either physical or virtual computers is all about improving performance over and above what you could expect from a single, high-powered server. But ""improving performance"" can mean different things in different contexts. This course, Linux High Availability Cluster Management, will bring many aspects of performance improvement to light. You'll be introduced to the principles of Linux-based HA and cluster management and the key tools currently in use in real-world environments - including Linux Virtual Server (LVS), HAProxy, Pacemaker, DRBD, OCFS2, and GFS2. You'll learn how to intelligently spread workloads among diverse geographic and demand environments (load balancing). You'll also discover how to provide backup servers that can be quickly brought into service in the event a working node fails (failover). Finally, you'll also learn about optimizing the way your data tier is deployed, or allowing for fault tolerance through loosely coupled architectures. By the end of this course, you will be able to improve and manage many aspects of the performance of your local or cloud Linux deployments, and they'll be more reliable for it.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,16,0.47g of CO2,56.08kg of CO2,1
23,Broadening Android App Appeal and Reach,4h 4m,Advanced,https://www.pluralsight.com/courses/android-broadening-app-appeal-reach,"The Android platform encompasses one of the largest user bases of any platform and provides those users with a rich device ecosystem filled with choices. In this course, Broadening Android App Appeal and Reach, you’ll learn how to succeed in this environment by creating apps that effectively engage the needs of these users and that adapt to their individual device capabilities. First, you will see how to use the Android resource system to create apps that dynamically adapt to device features and capabilities. Next, you’ll explore how to create locale-aware apps that have multiple-language support and display text in the user’s language of choice. After that, you’ll dive into creating custom views that allow your app to present a rich and engaging user experience. You’ll then learn to add Android Studio design-time configurability to your custom views and incorporate interactive features. Finally, you’ll gain an understanding of how to create apps that provide support for accessibility features such as non-touch navigation and screen readers. By the end of this course, you’ll have the skills and knowledge to create your own Android applications that that effectively engage and meet the needs of the rich ecosystem of Android devices and users.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,20,0.47g of CO2,56.08kg of CO2,4
24,Managing Windows 10/11 Desktops: Policies and Profiles,2h 34m,Intermediate,https://www.pluralsight.com/courses/modern-desktops-policies-profiles,"Managing modern desktops includes integrating existing tools with cloud tools in order to restrict access to corporate data, control device settings, and maintain user profiles. In this course, Managing Windows 10/11 Desktops: Policies and Profiles, you will gain the ability to manage Windows 10/11 configurations with both LAN-based and cloud-based utilities. First, you will learn methods for migrating from Configuration Manager and Group Policy to co-management and Mobile Device Management. Next, you will discover how to evaluate configurations with compliance policies, restrict access to applications based on compliance, and deploy desired configuration settings with device profiles – including for kiosk systems. Finally, you will explore ways to manage user state, including mandatory and roaming profiles and Enterprise State Roaming in Azure AD. When you are finished with this course, you will have the skills and knowledge to manage user and device configurations in organizations with both on-premises and cloud-based architectures. This course aligns with the learning objectives for the new MD-101 exam to obtain certification as a Modern Desktop Administrator Associate.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,27,0.47g of CO2,56.08kg of CO2,2
25,Installing and Configuring Windows 10/11,2h 36m,Intermediate,https://www.pluralsight.com/courses/windows-10-installing-configuring,"Building on the most popular client operating system ever from Microsoft, Windows 10 enterprises are starting to embrace Windows 11. Both versions of Windows are offered in multiple editions and installation options. In this course, Installing and Configuring Windows 10/11, you'll learn how to select, install, and customize the best Windows 10 edition for you. First, you'll explore how to locate and create offline installation media and understand the various deployment methods. Next, you’ll see how to upgrade or migrate from an older version of Windows to Windows 10/11 and perform a clean install. Finally, you’ll delve into deploying Windows using enterprise tools. During the course you'll see plenty of demos for you to see how to perform administrator tasks and configure Windows. When you have finished this course, you’ll have the skills and knowledge needed to install the most appropriate Windows 10/11 edition, using a variety of installation methods.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,35,0.47g of CO2,56.08kg of CO2,2
26,Securing Windows Server 2016 Virtualization,2h 30m,Intermediate,https://www.pluralsight.com/courses/windows-server-2016-virtualization-securing,"Hyper-V is an excellent application that comes in Windows Server 2016 Standard and Enterprise. By default, there isn’t a lot of security unless you add it using the built-in tools that come with the server. However, you need to figure out which tools you should use and how to configure them. In this course, Securing Windows Server 2016 Virtualization, you’ll learn foundational knowledge needed to gain the ability to secure your virtual machines using a variety of tools. First, you will learn how to harden your virtual machine infrastructure. Next, you’ll learn encryption and enterprise firewall skills. Finally, you’ll learn how to avoid giving too many rights to too many people. When you’re finished with this course, you will have the skills and knowledge of securing your virtual machine environment needed to protect your clients.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,16,0.47g of CO2,56.08kg of CO2,2
27,Working on a Team,1h 43m,Beginner,https://www.pluralsight.com/courses/working-on-a-team,"In this course, we talk about the dynamics of a team, including the what and why of a team; why teams fail or succeed; team leadership issues such as power and authority, vision, and communication; and other foundational team skills. We share 24 tactics and concepts to help you become a better team contributor, and we discuss ideas for working with difficult people.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,50,0.47g of CO2,56.08kg of CO2,1
28,Business Analysis: Managing Requirements,1h 56m,Intermediate,https://www.pluralsight.com/courses/business-analysis-managing-requirements,"This course explains the Requirements Life Cycle Management knowledge area and its main purpose - to ensure that business, stakeholder, solution requirements, and designs are aligned to one another and that the solution implements them. In this course, Business Analysis: Managing Requirements, you will gain the ability to skillfully manage requirements and designs from their inception to retirement. First, you will learn which tasks will be fulfilled as a part of the whole process. Next, you will discover the applicable techniques, tools, and guidelines for an implementation. Finally, you will explore how they appear in real-life scenarios through an example product development company. When you are finished with this course, you will have the skills and knowledge of requirements life cycle management needed to round your business analysis know-how.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,25,0.47g of CO2,56.08kg of CO2,1
29,PMI-ACP®: Agile Methodologies (2 of 11),3h 54m,Intermediate,https://www.pluralsight.com/courses/pmi-acp-agile-methodologies,"This course will provide an in-depth understanding of Agile methodologies with particular emphasis on a detailed discussion of Scrum, Scrum Principles and Values, and Kanban. The course also includes a general comparison of Agile and traditional, plan-driven methodologies, a comparison of Agile and PMBOK, and an overview of other Agile methodologies that are not as widely-used as Scrum. This course is part of the PMI-ACP® Agile Project Management series.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,19,0.47g of CO2,56.08kg of CO2,3
30,CentOS Enterprise Linux 7 Network Management,4h 7m,Beginner,https://www.pluralsight.com/courses/lfcs-linux-networking,"There is more to Linux administration than managing a single system--you have to network many systems and protect these systems from the Internet. In this course, LFCS: Linux Networking, new system administrators like you will be equipped with the skills needed to integrate CentOS 7 into a networked environment. First, you will learn how to implement persistent configuration of the IP address, gateway, and DNS settings of your system. Next, you'll learn the skills required to implement firewalls on your CentOS 7 system. Finally, you’ll learn how to implement secure tunneling to create Virtual Private Networks. By the end of this course, you'll have the expertise you need to be able to network and secure multiple systems.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,52,0.47g of CO2,56.08kg of CO2,4
31,Agile in the Real World,2h 8m,Intermediate,https://www.pluralsight.com/courses/agile-real-world,"Agile practices often sound great on paper, but quickly lose their luster once you try to apply them in the real world. This course will show you how to take the best of Agile methodologies and apply them to your own team in a way that actually makes sense. Rather than focus on the theory of how agile works in a vacuum, the techniques taught in this course are based on the most common places where agile breaks down in reality and the concrete strategies to fix them.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,29,0.47g of CO2,56.08kg of CO2,2
32,Designing/Deploying Exchange 2016: Mailbox Databases,3h 55m,Intermediate,https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-mailbox-databases,"In this course, Designing/Deploying Exchange 2016 (70-345): Mailbox Databases, you'll learn how to design and deploy mailbox databases and how to create highly available exchange services using databases availability group. Then, you'll learn how to manage, troubleshoot and recover mailbox databases in a range of operational and problem scenarios. By the end of this course you'll be on your way to being ready to sink your Exchange 2016 certification exam.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,37,0.47g of CO2,56.08kg of CO2,3
33,Business Analysis: Capturing and Designing Requirements,2h 6m,Intermediate,https://www.pluralsight.com/courses/business-analysis-capturing-designing-requirements,"In this course, Business Analysis: Capture and Designing Requirements, you’ll dive deep into the specificities of BABOK® Guide - Requirements Analysis and Design Definition. First, you’ll learn the tasks that business analysts perform. Next, you’ll explore structuring and organizing requirements. Finally, you’ll discover how to begin specifying and modeling those requirements. When you’re finished with this course, you’ll have the skills and knowledge necessary to round the process consisting of iterative activities, from the basic concepts, business needs analysis, to their transformation into a specific recommended solution.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,49,0.47g of CO2,56.08kg of CO2,2
34,CentOS Enterprise Linux 7 Storage Management,6h 22m,Beginner,https://www.pluralsight.com/courses/lfcs-linux-storage-management,"Finding a trustworthy storage solution that meets your needs as an administrator is difficult. This course, CentOS Enterprise Linux 7 Storage Management, will help any admin learn how to use Linux in order to provide more reliability in their storage and services. First, you'll learn about the partitions on which Linux disks reside, file systems, and virtual memory. Next, you'll move onto ACLs and how to configure an iSCSI block storage server, and more. You'll finish with using the auto-mounter and learning about quotas. By the end of this course, you'll know how to use Linux to meet all your storage needs in a safe and reliable way.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,20,0.47g of CO2,56.08kg of CO2,6
35,Managing Software in Linux with Debian Software Management,1h 58m,Beginner,https://www.pluralsight.com/courses/linux-managing-software-debian-software-management,"Many courses and books cover software management in Debian based systems, but few cover it in depth. In this course, Managing Software in Linux with Debian Software Management, you will learn foundational knowledge of using Debian packaging tools, from the basics through to creating binary packages. First, you will be taught the basics of the command dpkg. Next, you will discover how to use apt to help you locate and manage software. Finally, you will explore how to create your own Debian package. When you’re finished with this course, you will have the skills and knowledge of Debian software management needed to manage your enterprise Linux systems.",Pluralsight,non,self-pace,https://www.pluralsight.com/content/dam/ps-nav-assets/product-logo/pluralsight-color-full-logo.png,12,0.47g of CO2,56.08kg of CO2,1
